# Logfile created on 2026-03-24 21:16:31 +0100 by logger.rb/v1.6.0
2026-03-24 21:16:31 +0100: Memory Usage (421832K) : Starting running IHP-SG13G2 KLayout DRC runset on /home/cmaier/EDA/PUDDING/gds/dac4x32module_top_pins_only.gds
2026-03-24 21:16:31 +0100: Memory Usage (421832K) : Ruby Version for klayout: 3.3.10
2026-03-24 21:16:31 +0100: Memory Usage (422936K) : Loading database to memory is complete.
2026-03-24 21:16:31 +0100: Memory Usage (422936K) : IHP-SG13G2 KLayout DRC runset output at: /home/cmaier/EDA/PUDDING/gds/drc_run_dac4x32module/dac4x32module_top_pins_only_dac4x32module_main.lyrdb
2026-03-24 21:16:31 +0100: Memory Usage (423080K) : Evaluate switches.
2026-03-24 21:16:31 +0100: Memory Usage (423080K) : tables selected: main
2026-03-24 21:16:31 +0100: Memory Usage (423080K) : KLayout will use 1 thread(s) in tiling mode.
2026-03-24 21:16:31 +0100: Memory Usage (423080K) : deep mode is enabled.
2026-03-24 21:16:31 +0100: Memory Usage (423080K) : FEOL enabled: true
2026-03-24 21:16:31 +0100: Memory Usage (423080K) : BEOL enabled: true
2026-03-24 21:16:31 +0100: Memory Usage (423080K) : OFFGRID enabled: true
2026-03-24 21:16:31 +0100: Memory Usage (423080K) : PIN enabled: true
2026-03-24 21:16:31 +0100: Memory Usage (423080K) : FORBIDDEN enabled: true
2026-03-24 21:16:31 +0100: Memory Usage (423080K) : RECOMMENDED enabled: true
2026-03-24 21:16:31 +0100: Memory Usage (423080K) : PreCheck DRC enabled: false
2026-03-24 21:16:31 +0100: Memory Usage (423080K) : CONNECTIVITY_RULES enabled: true.
2026-03-24 21:16:31 +0100: Memory Usage (423080K) : Read in polygons from layers.
2026-03-24 21:16:31 +0100: Memory Usage (424408K) : activ_drw has 2192 polygons
2026-03-24 21:16:31 +0100: Memory Usage (424408K) : activ_pin has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (424408K) : activ_mask has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (424408K) : activ_filler has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (424408K) : activ_nofill has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (424408K) : activ_opc has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (424408K) : activ_iopc has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (424408K) : activ_noqrc has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (424408K) : biwind_drw has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (424664K) : biwind_opc has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (424664K) : pemwind_drw has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (424664K) : gatpoly_drw has 2256 polygons
2026-03-24 21:16:31 +0100: Memory Usage (424664K) : gatpoly_pin has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (424664K) : gatpoly_filler has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (424664K) : gatpoly_nofill has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (424664K) : gatpoly_opc has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (424664K) : gatpoly_iopc has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (424664K) : gatpoly_noqrc has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (424664K) : cont_drw has 15760 polygons
2026-03-24 21:16:31 +0100: Memory Usage (424664K) : cont_opc has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (424664K) : nsd_drw has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (424792K) : nsd_block has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (424792K) : metal1_drw has 7721 polygons
2026-03-24 21:16:31 +0100: Memory Usage (424920K) : metal1_pin has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (424920K) : metal1_mask has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (425048K) : metal1_filler has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (425048K) : metal1_nofill has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (425176K) : metal1_slit has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (425176K) : metal1_text has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (425304K) : metal1_opc has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (425304K) : metal1_noqrc has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (425304K) : metal1_res has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (425432K) : metal1_iprobe has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (425432K) : metal1_diffprb has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (425432K) : passiv_drw has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (425432K) : passiv_pin has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (425432K) : passiv_sbump has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (425432K) : passiv_pillar has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (425432K) : passiv_pdl has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (425560K) : metal2_drw has 3220 polygons
2026-03-24 21:16:31 +0100: Memory Usage (425560K) : metal2_pin has 288 polygons
2026-03-24 21:16:31 +0100: Memory Usage (425560K) : metal2_mask has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (425560K) : metal2_filler has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (425688K) : metal2_nofill has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (425688K) : metal2_slit has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (425876K) : metal2_text has 288 polygons
2026-03-24 21:16:31 +0100: Memory Usage (425876K) : metal2_opc has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (426004K) : metal2_noqrc has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (426004K) : metal2_res has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (426132K) : metal2_iprobe has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (426132K) : metal2_diffprb has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (426132K) : baspoly_drw has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (426132K) : baspoly_pin has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (426132K) : psd_drw has 631 polygons
2026-03-24 21:16:31 +0100: Memory Usage (426132K) : nldb_drw has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (426132K) : digibnd_drw has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (426132K) : via1_drw has 3350 polygons
2026-03-24 21:16:31 +0100: Memory Usage (426132K) : backmetal1_drw has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (426260K) : backmetal1_pin has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (426260K) : backmetal1_mask has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (426388K) : backmetal1_filler has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (426388K) : backmetal1_nofill has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (426516K) : backmetal1_slit has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (426516K) : backmetal1_text has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (426644K) : backmetal1_opc has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (426644K) : backmetal1_noqrc has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (426772K) : backmetal1_res has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (426772K) : backmetal1_iprobe has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (426900K) : backmetal1_diffprb has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (426900K) : backpassiv_drw has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (427028K) : res_drw has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (427028K) : sram_drw has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (427156K) : trans_drw has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (427156K) : ind_drw has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (427284K) : ind_pin has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (427284K) : ind_text has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (427412K) : salblock_drw has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (427412K) : via2_drw has 1926 polygons
2026-03-24 21:16:31 +0100: Memory Usage (427540K) : metal3_drw has 1456 polygons
2026-03-24 21:16:31 +0100: Memory Usage (427540K) : metal3_pin has 15 polygons
2026-03-24 21:16:31 +0100: Memory Usage (427668K) : metal3_mask has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (427668K) : metal3_filler has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (427796K) : metal3_nofill has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (427796K) : metal3_slit has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (427924K) : metal3_text has 15 polygons
2026-03-24 21:16:31 +0100: Memory Usage (427924K) : metal3_opc has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (427924K) : metal3_noqrc has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (428052K) : metal3_res has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (428052K) : metal3_iprobe has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (428180K) : metal3_diffprb has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (428180K) : nwell_drw has 633 polygons
2026-03-24 21:16:31 +0100: Memory Usage (428564K) : nwell_pin has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (428564K) : nbulay_drw has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (428692K) : nbulay_pin has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (428692K) : nbulay_block has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (428692K) : emwind_drw has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (428692K) : emwind_opc has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (428692K) : deepco_drw has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (428692K) : deepco_drw has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (428820K) : mim_drw has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (428820K) : edgeseal_drw has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (428948K) : edgeseal_bound has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (428948K) : substrate_drw has 32 polygons
2026-03-24 21:16:31 +0100: Memory Usage (429076K) : substrate_text has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (429076K) : dfpad_drw has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (429204K) : dfpad_pillar has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (429204K) : dfpad_sbump has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (429332K) : thickgateox_drw has 37 polygons
2026-03-24 21:16:31 +0100: Memory Usage (429332K) : pldb_drw has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (429460K) : pwell_drw has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (429460K) : pwell_pin has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (429588K) : pwell_block has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (429588K) : ic_drw has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (429716K) : via3_drw has 1728 polygons
2026-03-24 21:16:31 +0100: Memory Usage (429716K) : metal4_drw has 90 polygons
2026-03-24 21:16:31 +0100: Memory Usage (429844K) : metal4_pin has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (429844K) : metal4_mask has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (429972K) : metal4_filler has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (429972K) : metal4_nofill has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (430100K) : metal4_slit has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (430100K) : metal4_text has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (430228K) : metal4_opc has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (430228K) : metal4_noqrc has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (430356K) : metal4_res has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (430356K) : metal4_iprobe has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (430484K) : metal4_diffprb has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (430484K) : heattrans_drw has 32 polygons
2026-03-24 21:16:31 +0100: Memory Usage (430612K) : heatres_drw has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (430612K) : pempoly_drw has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (430740K) : fbe_drw has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (430740K) : empoly_drw has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (430868K) : ldmos_drw has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (430868K) : pbiwind_drw has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (430996K) : digisub_drw has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (430996K) : nodrc_drw has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (431124K) : text_drw has 0 polygons
2026-03-24 21:16:31 +0100: Memory Usage (431124K) : via4_drw has 3456 polygons
2026-03-24 21:16:31 +0100: Memory Usage (431252K) : metal5_drw has 20 polygons
2026-03-24 21:16:31 +0100: Memory Usage (431252K) : metal5_pin has 2 polygons
2026-03-24 21:16:31 +0100: Memory Usage (431380K) : metal5_mask has 0 polygons
