# Logfile created on 2026-03-17 01:41:19 +0100 by logger.rb/v1.6.0
2026-03-17 01:41:19 +0100: Memory Usage (421888K) : Starting running IHP-SG13G2 KLayout DRC runset on /home/cmaier/EDA/PUDDING/gds/input_mirror.gds
2026-03-17 01:41:19 +0100: Memory Usage (421888K) : Ruby Version for klayout: 3.3.10
2026-03-17 01:41:19 +0100: Memory Usage (423148K) : Loading database to memory is complete.
2026-03-17 01:41:19 +0100: Memory Usage (423148K) : IHP-SG13G2 KLayout DRC runset output at: /home/cmaier/EDA/PUDDING/gds/drc_run_hvnmirror/input_mirror_hvnmirror_main.lyrdb
2026-03-17 01:41:19 +0100: Memory Usage (423148K) : Evaluate switches.
2026-03-17 01:41:19 +0100: Memory Usage (423148K) : tables selected: main
2026-03-17 01:41:19 +0100: Memory Usage (423148K) : KLayout will use 1 thread(s) in tiling mode.
2026-03-17 01:41:19 +0100: Memory Usage (423148K) : deep mode is enabled.
2026-03-17 01:41:19 +0100: Memory Usage (423148K) : FEOL enabled: true
2026-03-17 01:41:19 +0100: Memory Usage (423148K) : BEOL enabled: true
2026-03-17 01:41:19 +0100: Memory Usage (423148K) : OFFGRID enabled: true
2026-03-17 01:41:19 +0100: Memory Usage (423148K) : PIN enabled: true
2026-03-17 01:41:19 +0100: Memory Usage (423148K) : FORBIDDEN enabled: true
2026-03-17 01:41:19 +0100: Memory Usage (423148K) : RECOMMENDED enabled: true
2026-03-17 01:41:19 +0100: Memory Usage (423148K) : PreCheck DRC enabled: false
2026-03-17 01:41:19 +0100: Memory Usage (423148K) : CONNECTIVITY_RULES enabled: true.
2026-03-17 01:41:19 +0100: Memory Usage (423148K) : Read in polygons from layers.
2026-03-17 01:41:19 +0100: Memory Usage (424812K) : activ_drw has 99 polygons
2026-03-17 01:41:19 +0100: Memory Usage (424812K) : activ_pin has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (424812K) : activ_mask has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (424812K) : activ_filler has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (424812K) : activ_nofill has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (424812K) : activ_opc has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (424812K) : activ_iopc has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (424812K) : activ_noqrc has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (424812K) : biwind_drw has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (424812K) : biwind_opc has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (424812K) : pemwind_drw has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (424812K) : gatpoly_drw has 34 polygons
2026-03-17 01:41:19 +0100: Memory Usage (424812K) : gatpoly_pin has 32 polygons
2026-03-17 01:41:19 +0100: Memory Usage (424812K) : gatpoly_filler has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (424812K) : gatpoly_nofill has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (424812K) : gatpoly_opc has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (424812K) : gatpoly_iopc has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (424812K) : gatpoly_noqrc has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (424812K) : cont_drw has 956 polygons
2026-03-17 01:41:19 +0100: Memory Usage (424812K) : cont_opc has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (424812K) : nsd_drw has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (424812K) : nsd_block has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (424812K) : metal1_drw has 83 polygons
2026-03-17 01:41:19 +0100: Memory Usage (424812K) : metal1_pin has 74 polygons
2026-03-17 01:41:19 +0100: Memory Usage (424940K) : metal1_mask has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (424940K) : metal1_filler has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (425068K) : metal1_nofill has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (425068K) : metal1_slit has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (425324K) : metal1_text has 10 polygons
2026-03-17 01:41:19 +0100: Memory Usage (425324K) : metal1_opc has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (425452K) : metal1_noqrc has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (425452K) : metal1_res has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (425452K) : metal1_iprobe has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (425580K) : metal1_diffprb has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (425580K) : passiv_drw has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (425580K) : passiv_pin has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (425580K) : passiv_sbump has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (425580K) : passiv_pillar has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (425580K) : passiv_pdl has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (425708K) : metal2_drw has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (425708K) : metal2_pin has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (425836K) : metal2_mask has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (425836K) : metal2_filler has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (425836K) : metal2_nofill has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (425836K) : metal2_slit has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (425836K) : metal2_text has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (425836K) : metal2_opc has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (425964K) : metal2_noqrc has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (425964K) : metal2_res has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (426092K) : metal2_iprobe has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (426092K) : metal2_diffprb has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (426092K) : baspoly_drw has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (426220K) : baspoly_pin has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (426220K) : psd_drw has 3 polygons
2026-03-17 01:41:19 +0100: Memory Usage (426220K) : nldb_drw has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (426220K) : digibnd_drw has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (426220K) : via1_drw has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (426220K) : backmetal1_drw has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (426348K) : backmetal1_pin has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (426476K) : backmetal1_mask has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (426476K) : backmetal1_filler has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (426604K) : backmetal1_nofill has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (426604K) : backmetal1_slit has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (426604K) : backmetal1_text has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (426732K) : backmetal1_opc has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (426732K) : backmetal1_noqrc has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (426860K) : backmetal1_res has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (426988K) : backmetal1_iprobe has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (426988K) : backmetal1_diffprb has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (427116K) : backpassiv_drw has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (427116K) : res_drw has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (427244K) : sram_drw has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (427244K) : trans_drw has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (427372K) : ind_drw has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (427372K) : ind_pin has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (427372K) : ind_text has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (427500K) : salblock_drw has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (427628K) : via2_drw has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (427628K) : metal3_drw has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (427756K) : metal3_pin has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (427756K) : metal3_mask has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (427756K) : metal3_filler has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (427884K) : metal3_nofill has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (427884K) : metal3_slit has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (428012K) : metal3_text has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (428012K) : metal3_opc has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (428140K) : metal3_noqrc has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (428140K) : metal3_res has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (428268K) : metal3_iprobe has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (428268K) : metal3_diffprb has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (428652K) : nwell_drw has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (428652K) : nwell_pin has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (428652K) : nbulay_drw has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (428652K) : nbulay_pin has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (428652K) : nbulay_block has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (428652K) : emwind_drw has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (428652K) : emwind_opc has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (428652K) : deepco_drw has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (428780K) : deepco_drw has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (428908K) : mim_drw has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (428908K) : edgeseal_drw has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (429036K) : edgeseal_bound has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (429036K) : substrate_drw has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (429164K) : substrate_text has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (429164K) : dfpad_drw has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (429292K) : dfpad_pillar has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (429292K) : dfpad_sbump has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (429420K) : thickgateox_drw has 32 polygons
2026-03-17 01:41:19 +0100: Memory Usage (429420K) : pldb_drw has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (429548K) : pwell_drw has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (429548K) : pwell_pin has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (429676K) : pwell_block has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (429676K) : ic_drw has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (429804K) : via3_drw has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (429804K) : metal4_drw has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (429932K) : metal4_pin has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (429932K) : metal4_mask has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (430060K) : metal4_filler has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (430060K) : metal4_nofill has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (430188K) : metal4_slit has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (430188K) : metal4_text has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (430316K) : metal4_opc has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (430316K) : metal4_noqrc has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (430444K) : metal4_res has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (430444K) : metal4_iprobe has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (430572K) : metal4_diffprb has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (430572K) : heattrans_drw has 32 polygons
2026-03-17 01:41:19 +0100: Memory Usage (430700K) : heatres_drw has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (430700K) : pempoly_drw has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (430828K) : fbe_drw has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (430828K) : empoly_drw has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (430956K) : ldmos_drw has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (430956K) : pbiwind_drw has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (431084K) : digisub_drw has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (431084K) : nodrc_drw has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (431212K) : text_drw has 32 polygons
2026-03-17 01:41:19 +0100: Memory Usage (431212K) : via4_drw has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (431340K) : metal5_drw has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (431340K) : metal5_pin has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (431468K) : metal5_mask has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (431468K) : metal5_filler has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (431596K) : metal5_nofill has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (431596K) : metal5_slit has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (431724K) : metal5_text has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (431724K) : metal5_opc has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (431852K) : metal5_noqrc has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (431852K) : metal5_res has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (431980K) : metal5_iprobe has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (431980K) : metal5_diffprb has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (432108K) : radhard_drw has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (432108K) : memcap_drw has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (432236K) : varicap_drw has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (432236K) : flash_drw has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (432364K) : intbondvia_drw has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (432492K) : intbondmet_drw has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (432492K) : devbondvia_drw has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (432492K) : devbondmet_drw has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (432492K) : devtrench_drw has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (432492K) : redist_drw has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (432492K) : graphbot_drw has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (432492K) : graphtop_drw has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (432492K) : antvia1_drw has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (432492K) : antmetal2_drw has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (432492K) : graphcont_drw has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (432492K) : siwg_drw has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (432492K) : siwg_filler has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (432492K) : siwg_nofill has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (432492K) : sigrating_drw has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (432492K) : singrating_drw has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (432492K) : graphpas_drw has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (432492K) : emwind3_drw has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (432492K) : emwihv3_drw has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (432492K) : redbulay_drw has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (432492K) : smos_drw has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (432492K) : graphpad_drw has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (432492K) : polimide_drw has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (432492K) : polimide_pin has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (432492K) : recog_drw has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (432492K) : recog_pin has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (432492K) : recog_esd has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (432492K) : recog_diode has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (432492K) : recog_tsv has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (432492K) : recog_iprobe has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (432492K) : recog_diffprb has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (432492K) : recog_pillar has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (432492K) : recog_sbump has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (432492K) : recog_otp has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (432492K) : recog_pdiode has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (432492K) : recog_mom has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (432492K) : recog_pcm has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (432492K) : colopen_drw has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (432492K) : graphmetal1_drw has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (432492K) : graphmetal1_filler has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (432492K) : graphmetal1_nofill has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (432492K) : graphmetal1_slit has 0 polygons
2026-03-17 01:41:19 +0100: Memory Usage (432492K) : graphmetal1_opc has 0 polygons
